iter	Accuracy	MultiClass
0	0.5523008295	2.343894978
1	0.6047860763	2.175461222
2	0.6008939747	2.049119509
3	0.6013217592	1.946826352
4	0.6138425263	1.857574892
5	0.6211602784	1.780534571
6	0.6257466404	1.712294348
7	0.6299170991	1.650520541
8	0.6377757953	1.589099216
9	0.6467771819	1.532966181
10	0.6503330648	1.486745653
11	0.6641472053	1.437119128
12	0.6800407563	1.392260069
13	0.6841552316	1.355724495
14	0.6933317329	1.317818157
15	0.7011637494	1.284963396
16	0.7036654666	1.251490763
17	0.7107418675	1.219543825
18	0.718753166	1.189823563
19	0.7242166708	1.162371134
20	0.7290802455	1.134832808
21	0.7333984784	1.107901402
22	0.7385455377	1.084047408
23	0.7424369339	1.061167419
24	0.7466193186	1.038134223
25	0.7496589234	1.017059989
26	0.7517064964	0.9984867177
27	0.7551005431	0.9786532737
28	0.7600646575	0.9590232867
29	0.7623011642	0.9419186232
30	0.7645523556	0.9263494131
31	0.7688346679	0.9098666709
32	0.7694159175	0.8957314181
33	0.7724978865	0.88044114
34	0.7750930552	0.8676696136
35	0.7770392533	0.8549137531
36	0.7788279988	0.843245807
37	0.7801535264	0.8333147135
38	0.7805227458	0.8236171476
39	0.7818271396	0.8131516226
40	0.7836909436	0.8026348517
41	0.7838496545	0.7937317308
42	0.7849773849	0.785236586
43	0.7851271857	0.7768766589
44	0.7858567282	0.7695389292
45	0.7870256273	0.7614348999
46	0.7883389199	0.7527506363
47	0.7893328896	0.7458954284
48	0.7900308977	0.7387026079
49	0.7906909183	0.732395705
50	0.7921517843	0.7249316527
51	0.7932841872	0.7174911655
52	0.7945907818	0.7114712931
53	0.7957105199	0.7062960496
54	0.796713254	0.6996804762
55	0.7972004343	0.693488744
56	0.7984819116	0.6864484665
57	0.798975892	0.6810027877
58	0.7999146351	0.6753988571
59	0.8006709113	0.6697697019
60	0.801387852	0.6639238135
61	0.8018489816	0.6591302593
62	0.8028104885	0.6539053629
63	0.8030735512	0.6490062634
64	0.803861259	0.6446836807
65	0.8048443623	0.6398067523
66	0.805172445	0.6348706123
67	0.8057442855	0.6312517321
68	0.8064360264	0.6264075294
69	0.8067488555	0.6225739075
70	0.8072055129	0.6187830348
71	0.8071870719	0.6156953999
72	0.8077504088	0.6113443399
73	0.8084161241	0.6077238003
74	0.8088958815	0.6039053795
75	0.8093853548	0.6003717987
76	0.8095138965	0.5977143111
77	0.8101538924	0.594132737
78	0.8101976581	0.5910237275
79	0.8109551895	0.5879319106
80	0.8114003905	0.5848481922
81	0.8113861074	0.5820766625
82	0.8120113803	0.5793063276
83	0.8124786279	0.5761847722
84	0.8125182794	0.5740416028
85	0.8132626546	0.5709548973
86	0.8136985553	0.5676796039
87	0.8138608774	0.5661100308
88	0.8141985903	0.5634575218
89	0.8145955443	0.5606535319
90	0.8149905758	0.5585955291
91	0.8152955261	0.5558101258
92	0.815645007	0.5535964269
93	0.8158371513	0.5513876733
94	0.8161419211	0.5489081194
95	0.8166092708	0.5466449336
96	0.8168811009	0.5441308285
97	0.8172547931	0.5417581808
98	0.8174718756	0.5402071611
99	0.8176122875	0.5383384762
100	0.8178988006	0.5359073139
101	0.8183147296	0.5339537612
102	0.8187618641	0.5316667447
103	0.818634145	0.5300341429
104	0.818718732	0.5278415531
105	0.8191368779	0.52576659
106	0.8195254335	0.5240565219
107	0.8197668238	0.5221807011
108	0.8196534808	0.5212278384
109	0.8201846113	0.5192102946
110	0.8204783002	0.5172704495
111	0.8206564968	0.5155569296
112	0.8208978185	0.5140432159
113	0.8210859075	0.5132692825
114	0.8213327982	0.5116040215
115	0.8217442567	0.509858141
116	0.8219241557	0.5084778194
117	0.8220341499	0.5074966785
118	0.8221111324	0.5057701812
119	0.8223799222	0.5042133531
120	0.8224673625	0.5025388651
121	0.8226809832	0.5010621254
122	0.8227994855	0.5002381742
123	0.8229519496	0.4989163672
124	0.823111256	0.4973200426
125	0.8234379011	0.4959242542
126	0.8236084435	0.4946044719
127	0.8236764308	0.4938765736
128	0.8239001792	0.4925131127
129	0.8240531026	0.4914139136
130	0.8242320471	0.4900601443
131	0.8242106708	0.4890524179
132	0.824341223	0.4880789108
133	0.8246645965	0.4868091131
134	0.8248156484	0.4855298231
135	0.8248113175	0.4844846579
136	0.8249480026	0.4833239239
137	0.8249284908	0.4824272525
138	0.8252558083	0.4811538703
139	0.8252561981	0.4804622823
140	0.8254304948	0.4792848203
141	0.8255949267	0.4781300937
142	0.8258861538	0.4770260488
143	0.8261503162	0.4759304343
144	0.826384389	0.4749014661
145	0.8265108589	0.4738937729
146	0.8267360107	0.4728972316
147	0.8268404351	0.4719153274
148	0.826832388	0.4708554921
149	0.8268493885	0.4699595841
150	0.8269093988	0.4690199975
151	0.8271180979	0.4679041369
152	0.8272893704	0.4673661872
153	0.8273556226	0.4664365577
154	0.8274938454	0.465573475
155	0.8275828969	0.4646423852
156	0.8276295015	0.463937156
157	0.827659337	0.463300133
158	0.8278553456	0.4624123235
159	0.8281309468	0.4615949107
160	0.8282667515	0.4607704284
161	0.8283860277	0.4599567994
162	0.8284091619	0.4591290313
163	0.8285014093	0.4587216857
164	0.8285103397	0.458131959
165	0.8285875243	0.4572827167
166	0.828713634	0.4566105119
167	0.8287350923	0.4557651528
168	0.828830228	0.4550398434
169	0.8289092142	0.4542479541
170	0.8289796649	0.453881665
171	0.8290409807	0.4531431458
172	0.8290833674	0.4526113695
173	0.8291477216	0.4519463338
174	0.8292161367	0.4511298836
175	0.8293395447	0.4504331843
176	0.8294145936	0.4497734922
177	0.829646949	0.4490252483
178	0.8297064998	0.4484172005
179	0.8297385705	0.4478277393
180	0.829816998	0.4471769754
181	0.8298449236	0.4465048038
182	0.829910757	0.4459655597
183	0.8299552707	0.445629839
184	0.8301245909	0.4449458516
185	0.8303205187	0.4443602404
186	0.8303863137	0.4437141233
187	0.8306145507	0.4429324234
188	0.8307365808	0.4423730659
189	0.8308137232	0.441721937
190	0.8308435791	0.441148905
191	0.8309843212	0.4405768356
192	0.8310470435	0.4400345047
193	0.8310068899	0.4396393068
194	0.8309921889	0.4389879788
195	0.8310504798	0.4386753586
196	0.8311710266	0.4380978127
197	0.8312752146	0.4376589695
198	0.8314643189	0.4370888251
199	0.8314709547	0.4365717521
200	0.8315066897	0.4361282291
201	0.8316391003	0.4355961872
202	0.8317193869	0.4351253485
203	0.8317371637	0.4347436259
204	0.8317925456	0.4342790269
205	0.831891069	0.4338214311
206	0.8319057172	0.433353845
207	0.8319848471	0.4329133754
208	0.8320250262	0.4326272079
209	0.8320635006	0.4322837539
210	0.8321844833	0.4316797553
211	0.832250959	0.4312454591
212	0.8323253456	0.4308479047
213	0.832418744	0.4304500184
214	0.8324295693	0.4300496097
215	0.8324537019	0.4295910182
216	0.8324707284	0.429189149
217	0.8325153286	0.4287090501
218	0.8325645557	0.4282667883
219	0.8327490066	0.4278606376
220	0.8328369231	0.4273864798
221	0.8329558205	0.4270072133
222	0.8330136745	0.4265384655
223	0.8330856366	0.4261540213
224	0.8331283056	0.4259102379
225	0.8331651635	0.4256958613
226	0.8332228791	0.4253953887
227	0.8331976823	0.424972676
228	0.8331896548	0.4245372182
229	0.8332199705	0.4240954542
230	0.8332814744	0.4237306919
231	0.8333607097	0.4233817282
232	0.8333694012	0.4232231446
233	0.8334486578	0.4228150688
234	0.8334956459	0.4224851232
235	0.8335949683	0.4221488715
236	0.8336459111	0.4219209199
237	0.8336208571	0.4215881863
238	0.833652844	0.4212108117
239	0.8337145061	0.4207981889
240	0.8336366683	0.4206081407
241	0.833625743	0.4202609361
242	0.8337015732	0.419814957
243	0.8337246179	0.4195667593
244	0.8338270529	0.4191869286
245	0.8339205223	0.4188535644
246	0.8339177868	0.4185630158
247	0.8339325569	0.4182543784
248	0.8339519914	0.4179138783
249	0.8340329	0.417708297
250	0.8340729394	0.4173987303
251	0.8341436347	0.417221029
252	0.8341984748	0.4168908179
253	0.8342330468	0.4165577192
254	0.8343290113	0.4162451986
255	0.834352144	0.4159057606
256	0.8344229483	0.4155948662
257	0.834531969	0.4151913044
258	0.8345047916	0.4149408498
259	0.8345349998	0.4148085197
260	0.8346543218	0.4145393457
261	0.8346286589	0.4142833483
262	0.8346763852	0.4139617335
263	0.8347467207	0.4136848925
264	0.8347550801	0.4133756909
265	0.8348025581	0.4132146512
266	0.8348731292	0.4129334622
267	0.8349214283	0.4126939936
268	0.8350023195	0.4126038486
269	0.8349528975	0.4123674335
270	0.8351018176	0.4120912231
271	0.8350766311	0.4118032965
272	0.8351303544	0.411546403
273	0.8352029385	0.411183433
274	0.8352624469	0.410961854
275	0.8352968068	0.4107672256
276	0.8353733403	0.410557396
277	0.8354279638	0.410250053
278	0.835429883	0.4099904047
279	0.8353957585	0.4097618557
280	0.835482943	0.4095642402
281	0.8355425709	0.4092400697
282	0.8355681813	0.4090311694
283	0.8355431156	0.4088493193
284	0.8356365	0.408658541
285	0.8356814762	0.4085378276
286	0.8356646793	0.4082762542
287	0.8357486559	0.4080154773
288	0.835729949	0.4078501229
289	0.8357857598	0.4075846662
290	0.835817645	0.4073622242
291	0.8358504456	0.4071234194
