iter	Passed	Remaining
0	19	48572
1	45	57075
2	63	53017
3	79	49318
4	96	48117
5	111	46280
6	125	44739
7	139	43457
8	156	43238
9	172	42960
10	186	42230
11	204	42352
12	219	41997
13	235	41813
14	250	41469
15	265	41196
16	284	41509
17	299	41347
18	315	41238
19	330	40991
20	351	41471
21	372	41925
22	391	42179
23	410	42367
24	426	42251
25	443	42204
26	460	42143
27	475	41987
28	492	41932
29	507	41799
30	525	41839
31	541	41796
32	557	41711
33	573	41607
34	589	41518
35	605	41408
36	621	41346
37	634	41138
38	652	41161
39	667	41081
40	683	40963
41	700	41018
42	715	40874
43	730	40785
44	744	40628
45	759	40517
46	780	40729
47	795	40640
48	810	40542
49	825	40465
50	843	40493
51	860	40528
52	875	40410
53	891	40390
54	910	40454
55	928	40531
56	945	40543
57	961	40474
58	976	40400
59	990	40298
60	1005	40220
61	1022	40189
62	1036	40077
63	1051	40004
64	1065	39917
65	1080	39830
66	1097	39861
67	1111	39763
68	1126	39703
69	1144	39720
70	1158	39642
71	1174	39595
72	1189	39540
73	1204	39486
74	1219	39414
75	1233	39328
76	1248	39274
77	1263	39246
78	1278	39192
79	1292	39103
80	1306	39017
81	1320	38925
82	1333	38837
83	1347	38754
84	1362	38702
85	1380	38753
86	1397	38760
87	1412	38723
88	1428	38694
89	1443	38644
90	1456	38568
91	1473	38557
92	1488	38517
93	1502	38464
94	1518	38445
95	1532	38388
96	1546	38320
97	1564	38347
98	1580	38330
99	1597	38336
100	1613	38319
101	1629	38319
102	1645	38302
103	1660	38256
104	1675	38206
105	1691	38211
106	1705	38147
107	1720	38116
108	1735	38063
109	1751	38063
110	1769	38077
111	1783	38031
112	1798	37985
113	1811	37924
114	1826	37871
115	1841	37836
116	1855	37788
117	1871	37769
118	1887	37768
119	1903	37753
120	1918	37719
121	1932	37671
122	1946	37618
123	1959	37556
124	1974	37521
125	1991	37520
126	2006	37484
127	2019	37427
128	2034	37399
129	2048	37345
130	2063	37308
131	2077	37263
132	2091	37215
133	2106	37189
134	2122	37187
135	2138	37178
136	2155	37170
137	2169	37136
138	2185	37126
139	2201	37104
140	2216	37085
141	2232	37071
142	2247	37039
143	2263	37029
144	2278	37011
145	2293	36979
146	2307	36941
147	2322	36914
148	2337	36887
149	2357	36938
150	2380	37029
151	2413	37276
152	2430	37280
153	2444	37239
154	2460	37217
155	2478	37240
156	2495	37242
157	2511	37230
158	2527	37210
159	2542	37186
160	2557	37161
161	2573	37147
162	2589	37121
163	2604	37095
164	2619	37076
165	2635	37060
166	2650	37033
167	2665	36994
168	2680	36969
169	2695	36939
170	2708	36895
171	2723	36866
172	2740	36862
173	2755	36832
174	2770	36811
175	2786	36797
176	2800	36755
177	2814	36716
178	2828	36681
179	2843	36648
180	2858	36629
181	2873	36600
182	2887	36563
183	2901	36525
184	2918	36524
185	2934	36509
186	2949	36478
187	2965	36473
188	2985	36499
189	3000	36474
190	3014	36442
191	3030	36432
192	3046	36419
193	3061	36395
194	3077	36381
195	3093	36363
196	3108	36333
197	3122	36297
198	3139	36304
199	3158	36317
200	3174	36310
201	3188	36278
202	3206	36278
203	3220	36250
204	3235	36221
205	3250	36199
206	3266	36182
207	3280	36149
208	3294	36115
209	3308	36082
210	3323	36053
211	3337	36025
212	3354	36019
213	3368	35984
214	3383	35957
215	3398	35936
216	3413	35909
217	3427	35877
218	3441	35848
219	3457	35830
220	3472	35806
221	3486	35777
222	3501	35753
223	3516	35725
224	3530	35700
225	3545	35669
226	3559	35645
227	3574	35619
228	3589	35600
229	3603	35564
230	3619	35553
231	3634	35525
232	3649	35510
233	3664	35484
234	3679	35462
235	3694	35445
236	3711	35437
237	3726	35412
238	3739	35378
239	3754	35352
240	3769	35333
241	3784	35309
242	3799	35294
243	3813	35262
244	3830	35255
245	3846	35246
246	3861	35220
247	3877	35207
248	3891	35182
249	3905	35153
250	3920	35129
251	3935	35103
252	3951	35091
253	3965	35064
254	4001	35227
255	4015	35200
256	4030	35176
257	4045	35152
258	4060	35129
259	4077	35129
260	4093	35112
261	4107	35086
262	4121	35056
263	4136	35034
264	4151	35010
265	4165	34988
266	4180	34966
267	4196	34946
268	4210	34920
269	4225	34895
270	4239	34868
271	4254	34847
272	4268	34819
273	4282	34789
274	4297	34769
275	4311	34738
276	4328	34734
277	4343	34717
278	4360	34714
279	4375	34690
280	4390	34669
281	4406	34655
282	4420	34629
283	4435	34609
284	4453	34613
285	4467	34584
286	4482	34562
287	4496	34537
288	4511	34513
289	4526	34495
290	4541	34473
291	4561	34491
292	4578	34489
293	4593	34463
294	4607	34441
295	4622	34421
296	4637	34397
297	4653	34383
298	4667	34360
299	4685	34358
300	4701	34347
301	4715	34321
302	4731	34303
303	4745	34283
304	4763	34278
305	4776	34250
306	4794	34248
307	4810	34238
308	4825	34212
309	4840	34193
310	4854	34166
311	4868	34141
312	4882	34112
313	4898	34103
314	4913	34079
315	4928	34063
316	4945	34057
317	4960	34039
318	4975	34017
319	4990	33999
320	5005	33976
321	5020	33959
322	5035	33935
323	5052	33930
324	5069	33925
325	5084	33908
326	5099	33888
327	5114	33864
328	5130	33857
329	5147	33848
330	5162	33831
331	5177	33811
332	5192	33787
333	5205	33758
334	5219	33734
335	5234	33715
336	5249	33694
337	5264	33674
338	5283	33677
339	5298	33662
340	5313	33639
341	5329	33625
342	5346	33623
343	5362	33607
344	5380	33605
345	5399	33613
346	5415	33604
347	5430	33579
348	5448	33580
349	5463	33563
350	5479	33549
351	5497	33547
352	5512	33528
353	5529	33517
354	5544	33498
355	5558	33474
356	5572	33449
357	5586	33427
358	5602	33409
359	5617	33390
360	5631	33366
361	5648	33357
362	5664	33344
363	5678	33319
364	5693	33300
365	5707	33279
366	5722	33261
367	5738	33247
368	5753	33225
369	5768	33206
370	5784	33192
371	5799	33175
372	5814	33157
373	5830	33140
374	5844	33119
375	5860	33106
376	5874	33083
377	5891	33072
378	5907	33059
379	5922	33041
380	5936	33017
381	5950	32994
382	5966	32977
383	5981	32958
384	5997	32948
385	6013	32934
386	6029	32918
387	6044	32899
388	6060	32887
389	6074	32865
390	6090	32852
391	6106	32837
392	6123	32827
393	6142	32832
394	6159	32825
